"","id","sampleType","CPE_phtype","AmpC_phtype","ESBL_phtype","ESBL_AmpC_phtype","other_phtype","amp_tx","ceft_clavtx"
"309","309","broilers","0","0","0","0","0","1","1"
"310","310","broilers","0","0","0","0","0","1","1"
"311","311","broilers","0","0","0","0","0","1","1"
"312","312","broilers","0","0","0","0","0","1","1"
"313","313","broilers","0","0","0","0","0","1","1"
"314","314","broilers","0","0","0","0","0","1","1"
"315","315","broilers","0","0","0","0","0","1","1"
"316","316","broilers","0","0","0","0","0","1","1"
"317","317","broilers","0","0","0","0","0","1","1"
"318","318","broilers","0","0","0","0","0","1","1"
"319","319","broilers","0","0","0","0","0","1","1"
"320","320","broilers","0","0","0","0","0","1","1"
"321","321","broilers","0","0","0","0","0","1","1"
"322","322","broilers","0","0","0","0","0","1","1"
"323","323","broilers","0","0","0","0","0","1","1"
"324","324","broilers","0","0","0","0","0","1","1"
"325","325","broilers","0","0","0","0","0","1","1"
"326","326","broilers","0","0","0","0","0","1","1"
"327","327","broilers","0","0","0","0","0","1","1"
"328","328","broilers","0","0","0","0","0","1","1"
"329","329","broilers","0","0","0","0","0","1","1"
"330","330","broilers","0","0","0","0","0","1","1"
"331","331","broilers","0","0","0","0","0","1","1"
"332","332","broilers","0","0","0","0","0","1","1"
"333","333","broilers","0","0","0","0","0","1","1"
"334","334","broilers","0","0","0","0","0","1","1"
"335","335","broilers","0","0","0","0","0","1","1"
"336","336","broilers","0","0","0","0","0","1","1"
"337","337","broilers","0","0","0","0","0","1","1"
"338","338","broilers","0","0","0","0","0","1","1"
"339","339","broilers","0","0","0","0","0","1","1"
"340","340","broilers","0","0","0","0","0","1","1"
"341","341","broilers","0","0","0","0","0","1","1"
"342","342","broilers","0","0","0","0","0","1","1"
"343","343","broilers","0","0","0","0","0","1","1"
"344","344","broilers","0","0","0","0","0","1","1"
"345","345","broilers","0","0","0","0","0","1","1"
"346","346","broilers","0","0","0","0","0","1","1"
"347","347","broilers","0","0","0","0","0","1","1"
"348","348","broilers","0","0","0","0","0","1","1"
"349","349","broilers","0","0","0","0","0","1","1"
"350","350","broilers","0","0","0","0","0","1","1"
"351","351","broilers","0","0","0","0","0","1","1"
"352","352","broilers","0","0","0","0","0","1","1"
"353","353","broilers","0","0","0","0","0","1","1"
"354","354","broilers","0","0","0","0","0","1","1"
"355","355","broilers","0","0","0","0","0","1","1"
"356","356","broilers","0","0","0","0","0","1","1"
"357","357","broilers","0","0","0","0","0","1","1"
"358","358","broilers","0","0","0","0","0","1","1"
"359","359","broilers","0","0","0","0","0","1","1"
"360","360","broilers","0","0","0","0","0","1","1"
"361","361","broilers","0","0","0","0","0","1","1"
"362","362","broilers","0","0","0","0","0","1","1"
"363","363","broilers","0","0","0","0","0","1","1"
"364","364","broilers","0","0","0","0","0","1","1"
"365","365","broilers","0","0","0","0","0","1","1"
"366","366","broilers","0","0","0","0","0","1","1"
"367","367","broilers","0","0","0","0","0","1","1"
"368","368","broilers","0","0","0","0","0","1","1"
"369","369","broilers","0","0","0","0","0","1","1"
"370","370","broilers","0","0","0","0","0","1","1"
"371","371","broilers","0","0","0","0","0","1","1"
"372","372","broilers","0","0","0","0","0","1","1"
"373","373","broilers","0","0","0","0","0","1","1"
"374","374","broilers","0","0","0","0","0","1","1"
"375","375","broilers","0","0","0","0","0","1","1"
"376","376","broilers","0","0","0","0","0","1","1"
"377","377","broilers","0","0","0","0","0","1","1"
"378","378","broilers","0","0","0","0","0","1","1"
"379","379","broilers","0","0","0","0","0","1","1"
"380","380","broilers","0","0","0","0","0","1","1"
"381","381","broilers","0","0","0","0","0","1","1"
"382","382","broilers","0","0","0","0","0","1","1"
"383","383","broilers","0","0","0","0","0","1","1"
"384","384","broilers","0","0","0","0","0","1","1"
"385","385","broilers","0","0","0","0","0","1","1"
"386","386","broilers","0","0","0","0","0","1","1"
"387","387","broilers","0","0","0","0","0","1","1"
"388","388","broilers","0","0","0","0","0","1","1"
"389","389","broilers","0","0","0","0","0","1","1"
"390","390","broilers","0","0","0","0","0","1","1"
"391","391","broilers","0","0","0","0","0","1","1"
"392","392","broilers","0","0","0","0","0","1","1"
"393","393","broilers","0","0","0","0","0","1","1"
"394","394","broilers","0","0","0","0","0","1","1"
"395","395","broilers","0","0","0","0","0","1","1"
"396","396","broilers","0","0","0","0","0","1","1"
"397","397","broilers","0","0","0","0","0","1","1"
"398","398","broilers","0","0","0","0","0","1","1"
"399","399","broilers","0","0","0","0","0","1","1"
"400","400","broilers","0","0","0","0","0","1","1"
"401","401","broilers","0","0","0","0","0","1","1"
"402","402","broilers","0","0","0","0","0","1","1"
"403","403","broilers","0","0","0","0","0","1","1"
"404","404","broilers","0","0","0","0","0","1","1"
"405","405","broilers","0","0","0","0","0","1","1"
"406","406","broilers","0","0","0","0","0","1","1"
"407","407","broilers","0","0","0","0","0","1","1"
"408","408","broilers","0","0","0","0","0","1","1"
"409","409","broilers","0","0","0","0","0","1","1"
"410","410","broilers","0","0","0","0","0","1","1"
"411","411","broilers","0","0","0","0","0","1","1"
"412","412","broilers","0","0","0","0","0","1","1"
"413","413","broilers","0","0","0","0","0","1","1"
"414","414","broilers","0","0","0","0","0","1","1"
"415","415","broilers","0","0","0","0","0","1","1"
"416","416","broilers","0","0","0","0","0","1","1"
"417","417","broilers","0","0","0","0","0","1","1"
"418","418","broilers","0","0","0","0","0","1","1"
"419","419","broilers","0","0","0","0","0","1","1"
"420","420","broilers","0","0","0","0","0","1","1"
"421","421","broilers","0","0","0","0","0","1","1"
"422","422","broilers","0","0","0","0","0","1","1"
"423","423","broilers","0","0","0","0","0","1","1"
"424","424","broilers","0","0","0","0","0","1","1"
"425","425","broilers","0","0","0","0","0","1","1"
"426","426","broilers","0","0","0","0","0","1","1"
"427","427","broilers","0","0","0","0","0","1","1"
"428","428","broilers","0","0","0","0","0","1","1"
"429","429","broilers","0","0","0","0","0","1","1"
"430","430","broilers","0","0","0","0","0","1","1"
"431","431","broilers","0","0","0","0","0","1","1"
"432","432","broilers","0","0","0","0","0","1","1"
"433","433","broilers","0","0","0","0","0","1","1"
"434","434","broilers","0","0","0","0","0","1","1"
"435","435","broilers","0","0","0","0","0","1","1"
"436","436","broilers","0","0","0","0","0","1","1"
